stage,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Muscle_cell,Neural_cell,Pancreatic_cell
72hpf,0,1.07,0,0,0,0,0,0,0
21Day,0,0,5.35,1.34,0,4.02,0,1.34,1.34
3Month,0.32,0,13.12,0.32,0.32,0.64,0.32,0,0
22Month,0,0,6.56,0,0,0,0,0,0
