stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,453.59,36.78,0,0,0,0,0,53.12,0,0
72hpf,0,1.07,5.35,2.14,8.56,0,0,0,0,0,6.42,1.07,10.7,1.07,258.89,10.7,5.35,2.14,0,1.07,0,130.51,0,0
21Day,1.34,0,1.34,0,0,0,0,0,0,0,2.68,0,4.02,0,22.76,1.34,2.68,0,0,0,1.34,28.11,0,0
3Month,0,0.32,0.96,0,0,0.64,0.96,0.32,0,0.96,5.44,0.64,0.32,0,0,0,0,0,0.64,0,0,0.64,0.32,1.6
22Month,0,0,0,0,0,1.09,4.37,0,0.55,0,0,0.55,0.55,0,0,0,0,0,1.09,0,0,0,0,0
