stage,Endothelial_cell,Enterocyte,Epithelial_cell,Granulocyte,Intestinal_bulb_cell,Keratinocyte,Neural_cell,Neural_progenitor_cell,Osteoblast
24hpf,0,0,4.09,0,0,0,4.09,0,0
72hpf,0,0,1.07,0,0,1.07,8.56,1.07,1.07
21Day,0,0,0,0,0,1.34,1.34,0,0
3Month,0.32,0.32,0,0,0,0,0.32,0,0
22Month,0,0,0,0.55,0.55,0,0,0,0
