stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,4.09,0,8.17,0,0,0,0,0,0,0
72hpf,0,0,3.21,1.07,1.07,0,0,0,0,0,0,0,1.07,48.14,0,1.07,0,0,90.93,8.56,0,3.21,0,2.14,0,1.07,0
21Day,2.68,0,8.03,0,0,2.68,1.34,0,0,0,0,2.68,1.34,78.97,1.34,4.02,1.34,0,25.43,4.02,2.68,1.34,1.34,0,1.34,0,0
3Month,0,0.64,1.92,0,0,0,0.64,0.32,0,4.8,0.32,1.6,0,11.2,0.32,0.32,0,0.32,0,0,0,0,0,0,0,0,0.32
22Month,0,0,0.55,0,0,0,0.55,0.55,0.55,7.11,0,1.09,0.55,2.19,0,0.55,0,0,0,0,0,0,0,0,0,0,0.55
