stage,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Radial_glia
24hpf,0,0,0,0,0,0,4.09,0
72hpf,0,0,0,2.14,0,5.35,3.21,1.07
21Day,0,0,0,0,0,0,0,1.34
22Month,0.55,3.28,1.09,1.09,0.55,0,0,0
