stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,20.43,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,1.07,1.07,0,0,0,0,0,0,0,4.28,4.28,0,7.49,0,0,0,0,186.14,9.63,0,2.14,3.21,0,0,3.21,1.07,0,0,0
21Day,0,0,0,2.68,0,0,0,0,0,0,0,0,0,2.68,0,4.02,0,0,0,1.34,65.59,2.68,0,4.02,4.02,2.68,0,0,1.34,0,0,0
3Month,0,0,0.96,3.52,0,0.32,0.96,0,3.2,0.64,0,1.28,0,2.88,0.32,8,2.56,0.32,0.96,2.24,0,0.32,0.32,4.16,0,0.64,0.32,0,0,0,0.96,1.6
22Month,0,0.55,0,1.64,0,0,1.09,1.09,15.31,1.09,0.55,1.64,0,1.09,0.55,12.57,0.55,0,0,0.55,0.55,0,1.09,2.19,0,0,2.73,1.64,0,0.55,0,0.55
