stage,Epithelial_cell,Epithelial_cell__Brain_,Hepatocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast
24hpf,4.09,0,0,4.09,0,0,8.17,0
72hpf,0,1.07,0,0,1.07,11.77,3.21,3.21
21Day,0,0,0,0,2.68,14.72,0,6.69
22Month,0,0,1.64,0,0,0,0,0
