stage,Epithelial_cell,Hepatocyte,Immune_progenitor_cell,Keratinocyte,Mt_rich_cell,Neural_cell,Primordial_germ_cell
24hpf,8.17,0,0,0,0,0,0
21Day,0,0,1.34,0,0,2.68,1.34
22Month,0,1.64,0,0.55,0.55,0,0
