stage,Epithelial_cell,Goblet_cell,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,4.09,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,3.21,0,0,0,0,0
21Day,0,0,0,0,0,0,1.34,0,0,22.76,1.34,2.68,0,0,0
3Month,0.64,0,0.32,10.24,0.32,0.32,0.64,0.32,0.32,0,0,0,16,0.32,8.64
22Month,0,0.55,0,0.55,0,0,1.64,0,0,0,0,0,0,0,0
