stage,Hepatocyte,Macrophage,Muscle_cell,Primordial_germ_cell,T_cell
21Day,0,0,1.34,0,6.69
3Month,0,0.96,0.32,0.96,1.28
22Month,0.55,0.55,0,1.09,2.73
