stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,44.95,4.09,0,20.43,0,8.17,0,0,0,0,8.17,0,0,0,0,4.09,8.17,4.09,16.35,0,0,98.07,114.42,0,0,0,0,0,0,0,0,4.09,0,0
72hpf,7.49,1.07,0,9.63,7.49,3.21,0,0,0,0,0,0,0,1.07,0,4.28,55.63,1.07,20.33,0,0,529.55,79.16,3.21,2.14,32.09,0,0,12.84,1.07,1.07,4.28,0,0
21Day,25.43,1.34,1.34,84.33,2.68,6.69,0,1.34,0,0,0,0,1.34,4.02,1.34,5.35,125.82,5.35,58.9,16.06,1.34,200.78,32.12,4.02,5.35,20.08,10.71,0,6.69,9.37,9.37,1.34,0,10.71
3Month,0.64,0.96,0,12.48,0.32,0,0.32,0,0.32,0,0,1.28,0,0,0.64,1.92,4.16,0,3.84,0.32,0.64,1.92,0,1.28,0.32,0,0,2.56,0,0,0,0,0.32,0.64
22Month,0,0.55,0,1.64,0,0,0,0,0.55,0.55,0,2.73,0.55,0,0,0,1.09,0,0,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0
