stage,Hepatocyte,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Neural_cell
72hpf,0,0,0,0,2.14
3Month,0.96,0,0,0,0
22Month,3.28,0.55,0.55,0.55,0
