stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Keratinocyte,Muscle_cell,Neural_cell,Neurosecretory_cell,Osteoblast,Radial_glia,Retinal_cell,Retinal_cone_cell
72hpf,2.14,2.14,0,1.07,1.07,13.91,1.07,1.07,0,0,0
21Day,0,1.34,1.34,0,0,21.42,1.34,0,1.34,1.34,12.05
