stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,2.68,0,1.34,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34
3Month,0.32,0.64,0.32,2.24,0,0,0.32,2.56,0,7.04,5.12,0.64,2.24,0.32,1.28,5.76,2.88,0.96,0.32,0.96,0,0,0,0,0,0,0.96,0.96,0,0,0.64,0.96,4.16
22Month,1.09,13.67,2.19,23.51,1.09,1.09,3.28,30.61,8.75,125.73,8.75,4.37,38.81,1.09,2.73,17.49,25.69,0,10.93,2.19,1.64,1.09,4.92,2.19,0.55,0.55,2.73,4.37,2.73,0.55,2.19,0,12.03
