stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell,T_cell
24hpf,4.09,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,4.09,0,0,0,0,0,0,0,0
72hpf,0,1.07,2.14,0,1.07,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,14.98,3.21,0,2.14,1.07,0,0,0,0,0
21Day,0,0,33.46,1.34,1.34,0,0,0,0,0,0,0,0,0,2.68,0,0,0,0,0,6.69,1.34,0,0,0,0,1.34,1.34,0,0
3Month,0,1.6,31.36,0.32,0,0.64,0.64,0.64,0,31.04,0.96,0,1.6,1.6,12.8,0.64,1.92,0.96,0.32,1.6,0,0,0.32,0.32,0,1.92,4.8,0,1.92,0
22Month,0.55,3.28,8.75,0,0,0,0,1.09,0.55,43.73,0.55,0.55,2.73,0,2.73,1.64,1.64,0,0.55,0.55,0,0,0,0.55,0,0,2.19,0,0,1.09
