stage,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
21Day,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,3.84,0.32,1.92,6.4,1.28,0.32,2.24,1.28,0.32,0.64,0.32,0.64,0.32,0.32,0.96,11.52,0.32,226.52,0.64
22Month,0,0,0,0.55,0,0,0,0,0,0,0.55,0,0,0,0,1.64,0,0.55,0
