stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Hatching_gland,Hepatocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Primordial_germ_cell
24hpf,24.52,0,4.09,4.09,0,4.09,8.17,0,130.76,4.09,0,0
72hpf,0,0,0,0,0,0,0,1.07,3.21,0,0,0
21Day,0,0,0,0,0,0,0,1.34,4.02,0,0,0
3Month,0,0,0.32,0,0.32,0,0,0,0,0,0.32,0.96
22Month,0,0.55,1.09,0,4.92,0,0.55,0,0,0,0,2.19
