stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0
72hpf,41.72,0,0,0,5.35,0,0,0,0,0,0,0,0,0,1.07,1.07,0,1.07,0,0,0,0,18.19,5.35,0,0,0,0,0,1.07,2.14,1.07,0,0,0
21Day,25.43,1.34,0,0,1.34,0,1.34,0,0,0,0,0,1.34,0,0,0,0,1.34,0,0,0,0,5.35,5.35,0,0,0,1.34,1.34,0,0,0,0,0,1.34
3Month,537.83,1.6,0.96,32.31,1.6,0.64,0,1.6,4.16,0,20.8,2.88,0.64,7.04,1.6,4.8,7.04,3.84,1.28,0,0.96,0.32,0.64,0,0.64,0.32,0,0.64,3.2,24,1.28,0,1.6,16.64,2.88
22Month,456.46,2.73,1.09,18.04,0,0.55,0.55,0.55,2.73,1.64,67.79,2.73,1.09,8.2,1.09,1.64,4.37,4.37,1.09,2.73,1.64,0.55,0.55,0,3.28,0,0.55,0.55,0,26.24,0.55,0,0.55,0,2.19
