stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8.17,4.09,0,8.17,0,0,0,0,0,0,0,0,0,0,0,4.09,12.26,24.52,44.95,0,0,0,0,4.09,220.67,4.09,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,2.14,0,11.77,1.07,14.98,0,2.14,0,0,0,0,0,0,0,2.14,21.4,1.07,10.7,0,0,1.07,0,88.79,52.42,0,0,0,6.42,0,0,6.42,0,0,1.07,0,0,0
21Day,1.34,1.34,1.34,20.08,0,9.37,0,2.68,0,0,0,8.03,0,9.37,8.03,4.02,5.35,5.35,24.09,0,0,5.35,0,28.11,30.79,0,0,0,6.69,4.02,0,2.68,4.02,4.02,1.34,0,0,1.34
3Month,0,7.68,4.48,35.51,0,0,1.92,0.32,8.32,7.36,0.32,637.02,10.24,0.64,68.15,3.84,17.92,5.76,8.64,0.96,1.6,10.88,2.88,2.24,0.64,3.84,0.32,0,0.32,11.84,11.2,0.64,0.32,0,0,2.88,25.92,5.12
22Month,1.09,9.29,1.09,8.75,0.55,0,2.73,0,0.55,3.83,11.48,631.93,2.73,2.19,47.56,1.09,2.73,5.47,5.47,0,28.43,4.37,1.09,1.09,0,2.19,1.09,1.09,0,0.55,2.73,3.28,1.64,0,0,0,0,3.28
