stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell
24hpf,8.17,0,28.6,0,0,0,4.09,0,0,0,4.09,0,61.3,0,0,535.32,1050.21,0,0,8.17,0,0,0,0,0,0,0
72hpf,5.35,0,2.14,8.56,0,0,0,0,0,0,5.35,1.07,42.79,1.07,0,159.4,141.21,1.07,0,8.56,0,0,11.77,0,1.07,0,0
21Day,24.09,0,10.71,0,1.34,0,0,0,0,0,8.03,2.68,33.46,0,0,117.79,112.44,0,1.34,5.35,5.35,1.34,12.05,1.34,4.02,0,0
3Month,0.32,0,0.64,0,0,0,0,0.32,0,0.32,1.28,0,1.28,0,0.32,2.24,0,0.32,0,0,0.32,1.6,0.32,0,0,0,0.32
22Month,0,0.55,1.64,0,0,0.55,0,4.37,0.55,0,0.55,1.09,1.64,0,0.55,2.73,0,0.55,0.55,0,0,0.55,0,0,0,0.55,0
