stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,12.26,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,2.14,0,20.33,0,0,2.14,0,0,0,0,0,0
21Day,2.68,0,0,1.34,0,0,0,0,0,0,1.34,1.34,0,0,50.86,1.34,6.69,0,1.34,2.68,0,0,0,0
3Month,0,0.96,0.32,3.52,0.64,0.96,10.24,0,1.28,0.64,0.96,0.32,0.32,0.64,0.64,0,0,0,1.6,93.75,0.32,0.64,14.4,0.96
22Month,0,0,0,0,0,0.55,10.93,0.55,1.64,0,0.55,1.64,2.73,0.55,0.55,0,0,0,0,13.67,0,0,0,0
