stage,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,T_cell
72hpf,0,0,0,0,0,0,0,0,0,19.26,0,0,0,0,1.07,0,0,0,0,0,0,0
21Day,0,0,2.68,0,0,0,0,0,0,45.51,0,0,0,2.68,0,0,0,0,0,0,1.34,0
3Month,0.32,0.32,1.6,0.32,0,3.2,0.64,0.96,0.64,49.59,0,0,0.32,0,0,0,0,0.32,1.6,0,0,0
22Month,0,0.55,1.64,0,1.09,7.11,0,0,0,70.52,1.64,0.55,0,0,0,0.55,0.55,0,0,1.09,0,1.64
