stage,Endothelial_cell,Epithelial_cell,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte
24hpf,4.09,0,0,0,0,0,0,0,12.26,0,0,98.07,0,0,0,4.09,0,0
72hpf,0,0,0,0,0,0,1.07,0,2.14,0,6.42,9.63,0,0,1.07,0,0,0
21Day,0,2.68,1.34,0,0,0,0,0,2.68,0,5.35,1.34,0,0,2.68,0,0,0
3Month,0,1.92,0,0,0.96,0.32,0.32,0.64,0,0.32,0,0,0,1.92,0,0,0.32,0.32
22Month,0,0,0.55,0.55,1.64,0,0,0,0,0,0,0,0.55,0,0,0,0,0
