stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,265.62,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,2.14,0,0,0,0,21.4,42.79,1.07,1.07,0,0,6.42,1.07,0,0,0
21Day,0,0,0,0,5.35,0,0,0,0,1.34,0,0,0,1.34,0,0,5.35,26.77,0,0,0,1.34,8.03,2.68,18.74,6.69,0
3Month,0.32,0,0,1.6,0,0.32,0,6.08,0.32,0,1.28,0.96,1.28,0.64,0.32,0.32,0.32,0.64,0.32,0,0.32,0.96,0,0,0,0,2.56
22Month,0,0.55,1.09,0.55,0,0,1.09,23.51,0,0,0.55,0,2.19,1.09,0,0,0.55,1.09,0,0,0,0.55,0,0.55,0,0,0
