stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,8.17,0,0,4.09,0,0,0,0,0,0,0,0,8.17,8.17,69.47,0,0,16.35,800.94,0,0,32.69,0,0,4.09,0,0
72hpf,1.07,0,0,2.14,0,0,0,0,0,0,0,0,2.14,1.07,51.35,0,3.21,21.4,49.21,0,0,80.23,0,7.49,4.28,0,0
21Day,2.68,0,1.34,1.34,2.68,0,0,0,0,1.34,0,0,1.34,0,70.94,0,4.02,0,6.69,0,0,25.43,0,2.68,1.34,0,0
3Month,0,0.32,0.32,0.64,0,0.32,0.96,0,0,0.64,0.32,0.32,0.32,0.32,21.76,1.92,0.32,0.32,0.64,0.32,0,0,0.32,0.32,0,0.64,0.64
22Month,0,2.19,1.09,1.09,0,0,0.55,2.19,67.24,8.75,0,1.09,0,0.55,12.57,0.55,0.55,0,1.09,0,0.55,0,1.09,0,0,0,0.55
