stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,4.09,12.26,0,0,20.43,0,0,0,0,0,0,0,0
72hpf,1.07,0,1.07,0,0,0,0,0,1.07,0,0,9.63,3.21,0,1.07,0,0,1.07,1.07,0,0
21Day,0,1.34,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0
3Month,0,0.96,0,0.32,0.32,1.28,0.32,0,0,0,0.32,0,0,0,0,0.32,15.04,0,0,0.32,1.28
22Month,0,0,0,0,0,2.19,0,1.09,0,0.55,0,0,0,0.55,0,0,5.47,0,0,0,0
