stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,4.09,4.09,12.26,4.09,0,0,0,0,12.26,28.6,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,2.14,1.07,0,0,0,0,0,0,0,0,0,4.28,4.28,0,3.21,0,0,0,0,7.49,4.28,0,0,2.14,0,0,2.14,0,0,0
21Day,5.35,0,0,20.08,2.68,0,1.34,0,0,0,4.02,0,0,1.34,1.34,4.02,0,12.05,0,0,0,0,1.34,2.68,0,0,0,0,0,0,0,0,1.34
3Month,0.96,5.12,1.28,31.67,0,0.64,0.64,4.48,10.88,0,40.63,8,0.32,18.56,1.28,12.8,11.2,6.4,1.28,0,4.16,0.64,0.32,0.32,0.64,0.32,0,0.64,6.08,0,4.16,2.24,7.36
22Month,0,3.28,1.64,7.65,0,1.64,0,1.64,2.73,1.64,38.81,3.28,0.55,10.39,0.55,2.19,7.11,2.73,0,1.09,1.09,0,0,0,0,0,0,0,1.64,0.55,0,0,2.19
