stage,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,1.07,0,0,0,1.07,1.07,0,0,0,0,0
21Day,5.35,1.34,1.34,0,6.69,0,1.34,4.02,0,1.34,8.03,1.34,0,1.34,0,1.34,0,0,0,4.02
3Month,4.8,0,0,0.32,13.44,2.88,3.52,1.28,0.32,0.96,10.56,0.32,0.64,0,0,0.64,0.96,0.96,2.24,7.36
22Month,1.09,0,0,0,27.88,2.19,2.19,0,0.55,0,8.2,0,0.55,0,0,0,0,0,0,1.64
