stage,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,T_cell
72hpf,0,1.07,0,0,0,0,0,0,2.14,0,0,0,0,0,0,0,0,0,0,0
21Day,0,4.02,0,0,0,0,4.02,1.34,6.69,0,4.02,1.34,0,0,1.34,0,1.34,0,0,1.34
3Month,0,4.48,0.32,0.32,0.32,1.28,0,1.28,0.96,0.64,0.32,0,0.32,0.32,0,0.32,0,0,0,2.56
22Month,1.09,0.55,0,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0.55,0.55,0
