stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.35,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,5.35,2.14,0,4.28,0,3.21,0,0,1.07,0,0,0,0,0,2.14,3.21,2.14,11.77,0,0,358.38,29.95,0,0,6.42,0,0,1.07,237.49,499.59,1.07,0,0,0
21Day,24.09,0,2.68,50.86,1.34,24.09,4.02,0,1.34,0,4.02,1.34,9.37,16.06,2.68,30.79,5.35,64.25,0,2.68,99.05,32.12,1.34,2.68,14.72,20.08,0,1.34,911.54,4599.2,0,0,0,9.37
3Month,0,2.24,0.32,6.4,0,0,0,0.32,0.64,0,4.8,0.64,0,2.88,0.64,1.6,0,1.28,0.32,0,0.32,0,0.32,0,0,0.32,13.12,0,0.32,1.6,0,0.32,4.8,0.32
22Month,0,4.92,0,4.37,0,0,0,0,0.55,0.55,23.51,1.64,0.55,1.64,0,0,0.55,2.19,0,0,0,0,0.55,0,0,0,3.28,0,3.28,1.09,0,0,0,0
