stage,Epithelial_cell,Hepatocyte,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_progenitor_cell,Osteoblast,Radial_glia
24hpf,4.09,0,0,0,0,16.35,0,0
72hpf,0,0,1.07,2.14,0,1.07,1.07,0
21Day,0,1.34,0,0,2.68,1.34,0,1.34
