stage,Cardiomyocyte,Epithelial_cell,Hepatocyte,Macrophage,Neural_progenitor_cell
24hpf,4.09,0,0,4.09,8.17
72hpf,0,0,0,0,1.07
21Day,0,2.68,0,0,1.34
22Month,0,0.55,1.09,0,0
