stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,8.17,0,8.17,0,0,0,20.43,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,3.21,0,2.14,3.21,1.07,0,0,0,0,0,0,0,2.14,5.35,0,0,0,0,102.7,3.21,0,0,3.21,0,0,2.14,0,0,0,0,0
21Day,2.68,0,16.06,1.34,0,0,0,0,1.34,0,9.37,0,1.34,14.72,0,2.68,0,4.02,53.54,4.02,0,0,1.34,2.68,0,2.68,0,1.34,1.34,0,4.02
3Month,0,0,11.2,0,0,0.96,0.96,0,3.52,0.64,0,2.24,0.64,0.32,0.32,1.6,0,0.64,0.64,0,0.64,0,0,0,2.24,0.32,0,0,0,6.4,0.32
22Month,0,1.64,6.01,0,0,0,2.19,1.64,14.76,0.55,0,2.73,0,0.55,1.09,0.55,0.55,1.64,0,0,1.09,0.55,0,0,1.64,2.19,0.55,0,0,0,0.55
