stage,Epithelial_cell,Epithelial_cell__Brain_,Keratinocyte,Mesenchymal_cell,Neural_cell,Osteoblast,Pancreatic_cell
24hpf,0,0,4.09,0,0,0,0
72hpf,0,14.98,1.07,0,0,1.07,0
21Day,1.34,9.37,0,1.34,1.34,0,1.34
