stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,77.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.78,0,0,0,4.09,8.17,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,2.14,0,0,0,1.07,0,0,0,0,0,0,0,0
21Day,1.34,0,0,5.35,1.34,6.69,0,1.34,0,0,0,0,0,0,2.68,0,0,5.35,12.05,5.35,0,0,2.68,1.34,0,0,4.02,0,0,0,0,0,0,0,76.3
3Month,0,0.32,0.32,7.04,0,0,1.6,0.32,0,0.32,1.6,0,4.8,4.48,0.64,2.24,0.96,1.28,2.56,1.92,0,0.32,0,0,0.64,0,0,2.56,3.2,0.32,0,0.32,0,1.28,148.78
22Month,0.55,18.59,0,22.41,0,0,1.09,3.83,0.55,1.64,84.18,0.55,5.47,27.88,7.65,4.37,0.55,12.03,63.96,47.56,0.55,2.73,1.09,1.09,6.01,2.19,2.19,0.55,8.75,1.09,0.55,0,2.19,0,33.89
