stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,12.26,0,0,0,0,0,0,0,4.09,4.09,0,0,0,0,0,0,4.09,16.35,0,0,0,0,0,0,0
72hpf,0,0,0,5.35,7.49,0,0,0,0,0,0,1.07,17.12,0,2.14,0,1.07,0,1.07,0,3.21,0,0,0,0,0,0,0
21Day,0,0,0,8.03,1.34,0,0,0,0,0,0,0,6.69,1.34,5.35,0,0,1.34,0,0,1.34,0,2.68,1.34,8.03,0,0,0
3Month,0.32,0,0.32,3.2,0,0.32,0.32,0,3.2,1.6,0.32,0.32,1.28,0.64,0.96,0.32,0,0,0,0.64,0,0,0.32,0.64,83.19,1.28,13.44,0.32
22Month,0,0.55,0,2.73,0,0,0.55,1.64,43.19,0.55,0.55,0,1.64,0,1.64,0,1.64,0.55,1.09,0,0,1.64,0,0,10.39,0,0,0
