stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,1.07,1.07,0,0,0,0,0,0,0,0,0,0
21Day,1.34,0,1.34,6.69,1.34,0,1.34,1.34,1.34,0,0,0,42.83,1.34,1.34,4.02,2.68,0,0,1.34,4.02,2.68,1.34,0,1.34,0,0,1.34,0,0,1.34
3Month,0,0.32,3.2,7.04,0,0.32,0.32,16,3.84,8,2.24,0.32,315.15,0.32,1.28,17.6,2.56,0,3.84,4.16,0.96,0,1.28,0.32,1.92,0.64,0.32,0,0.32,1.28,1.92
22Month,0,0,3.28,4.92,0,0.55,0,6.56,2.73,16.95,0,0,231.78,0,0,18.04,0.55,0.55,4.37,0,0,0,1.64,0,0.55,0.55,0,0,0,0,0.55
