stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oocyte,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,1.07,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,40.16,6.69,0,0,0,0,1.34,0,2.68,18.74,6.69,2.68,0,6.69,0,0,0,0,1.34,0,1.34,0,0
3Month,0,0.32,36.15,0,0,0,1.6,0.64,0,0.96,11.2,1.92,2.24,0,0.64,6.4,0.64,1.28,0.32,0,0,1.92,0,0.32,0.32
22Month,0.55,0,15.31,0,0.55,0.55,5.47,0,0.55,1.64,0.55,1.09,0.55,0.55,0,1.09,0.55,0,0,1.09,0,0.55,0,0,0
