stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,0,0,2.14,0,0,0,13.91,1.07,2.14,4.28,0,117.68,0,0,7.49,1.07,0,0,0,4.28,0,0,0,0,0,0,0,0
21Day,20.08,4.02,6.69,57.56,1.34,36.14,0,8.03,1.34,5.35,0,669.27,0,10.71,20.08,2.68,25.43,16.06,70.94,0,5.35,12.05,1.34,81.65,37.48,1.34,6.69,0,33.46,56.22,0,8.03,8.03,10.71,1.34,0,4.02
3Month,0,0,0,1.28,0,0,0,0,0,0.96,0,44.79,0,0,3.2,0,0.64,2.56,1.28,0.32,0.32,0.64,0,0,0,0,0,0,0.32,0.32,0.64,0,0,0,0,0.32,0.32
22Month,2.19,13.67,9.29,30.61,0,0,40.45,1.09,3.83,27.88,4.37,8083.93,12.03,0.55,12.57,3.83,5.47,16.95,34.44,0,111.52,19.13,0,2.73,0,3.83,11.48,1.09,2.73,2.19,1.64,3.83,0.55,0,0.55,0,3.83
