stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,4.09,0,0,0,0,8.17,0,0,0,0,0,0,0,8.17,0,0,0,0,4.09,4.09,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,2.14,1.07,0,0,0,0,0,0,0,0,0,3.21,0,2.14,0,0,0,0,176.52,9.63,0,0,0,2.14,0,2.14,0,0,1.07,0,0,0
21Day,0,0,6.69,1.34,0,0,0,0,0,0,0,0,0,0,4.02,4.02,0,0,1.34,0,57.56,0,0,1.34,0,1.34,1.34,2.68,0,2.68,0,0,0,0
3Month,0.32,0.32,12.48,0,1.6,3.84,0,0,11.52,4.8,0.32,4.16,2.88,1.6,6.08,3.2,0.96,0,1.6,1.92,372.74,0.64,1.6,1.6,0,0,3.84,259.48,2.24,0,0,0.64,346.19,1.6
22Month,0,0.55,2.73,0,0,2.73,0.55,0,18.59,2.19,0,3.83,0.55,0,2.19,2.19,0,0.55,0.55,0,116.98,0.55,3.28,0,0.55,0.55,0,34.99,1.64,0,0,0,0,0.55
