stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,16.35,12.26,0,0,0,0,61.3,0,0,0,4.09,0,0,0,0,0,0,0
72hpf,1.07,0,0,2.14,1.07,3.21,0,1.07,0,0,0,0,0,0,0,0,1.07,3.21,0,3.21,1.07,0,0,8.56,9.63,0,0,0,5.35,0,0,2.14,1.07,0,0,0
21Day,1.34,0,0,5.35,0,1.34,0,0,0,0,0,0,0,1.34,1.34,0,1.34,13.39,4.02,2.68,0,0,0,1.34,1.34,0,0,0,2.68,0,0,0,0,0,0,0
3Month,0.64,2.56,2.88,20.48,0,0,0.64,0,0.32,2.88,7.04,0,97.26,7.68,0,17.28,3.84,6.08,6.4,5.12,1.6,1.92,2.56,1.6,0,2.56,0.32,0,0.64,8.32,163.17,0.64,0,3.2,852.34,4.16
22Month,0,8.2,0,7.65,0,0,1.64,0,0.55,3.28,17.49,4.92,235.06,3.28,0.55,7.11,0.55,0.55,8.2,3.83,11.48,1.64,0,1.09,0,0,1.64,2.19,0,0.55,43.73,0,0,0,4.37,2.19
