stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,20.43,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,2.14,0,0,0,0,0,0,0,0,0,1.07,0,1.07,0,0,0,13.91,2.14,0,0,0,0,0,0,0,0,0,0
21Day,1.34,0,0,4.02,0,0,0,0,0,1.34,0,0,0,2.68,0,0,0,0,0,10.71,0,0,0,0,0,0,0,0,0,0,0
3Month,0,2.24,0,10.56,0,0.32,1.6,4.48,0,14.72,4.16,0.32,4.48,3.52,2.88,4.8,0.32,0,0.96,1.92,0,0,0.32,0.32,0.32,6.4,0.32,0,0.32,4.48,4.48
22Month,0.55,1.09,0.55,2.19,0.55,0,0.55,3.28,1.64,45.92,1.09,0.55,2.73,0.55,1.64,1.64,0,1.09,0,0.55,0,0.55,0.55,0.55,0,3.28,0,0.55,0,0,0
