stage,Epithelial_cell,Erythrocyte,Fibroblast,Goblet_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte
72hpf,1.07,0,0,0,0,0,0,1.07,0,1.07,0,0,0,0,0,0,0
21Day,8.03,1.34,0,0,0,0,0,1.34,0,2.68,0,1.34,0,0,1.34,0,0
3Month,12.48,0,0.32,0.32,1.92,0.32,5.76,3.52,0.96,0.64,1.28,0.32,0.32,0.32,0,0.96,1.6
22Month,0,0,0,0,3.28,0,8.75,0,0,1.64,0,0,0,0.55,0,1.09,0
