stage,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0
72hpf,0,1.07,0,0,0,0,0,0,0,0,11.77,0,0,0,0,1.07,0,0,0,0,0,0,0,0
21Day,1.34,1.34,1.34,0,0,0,0,0,0,42.83,0,1.34,4.02,0,2.68,4.02,5.35,1.34,6.69,0,0,0,0,0
3Month,0.32,4.16,0,0.64,1.28,0.96,6.72,1.28,0.32,34.23,0,0,0.96,0.32,0.64,16,0,0,0.96,0.32,0.64,0.32,0.96,0.32
22Month,0.55,0.55,0,0,0.55,0.55,5.47,0,0,37.17,0,0,1.09,0,0,0,0,0,1.09,0.55,0,0,0,0
