stage,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Retinal_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,8.17,0,0,0,4.09,8.17,0,0,0
72hpf,0,0,0,0,0,0,2.14,0,0,1.07,0,0,0,0,1.07,1.07,0
21Day,4.02,0,0,0,6.69,0,0,1.34,2.68,6.69,0,0,1.34,0,0,0,1.34
3Month,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64
22Month,1.09,0.55,0.55,3.83,0,1.64,0,0,0,0,0.55,0.55,0,0,0,0,0
