stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,24.52,49.04,57.21,12.26,4.09,0,4.09,36.78,0,0,0,0,12.26,32.69,28.6,228.84,0,4.09,106.25,1695.86,40.86,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,5.35,0,0,0,0,0,0,0,0,5.35,0,7.49,0,0,31.02,40.65,2.14,0,0,0,0,0,0,0
21Day,5.35,0,14.72,0,121.81,0,17.4,0,1.34,0,10.71,0,0,2.68,5.35,4.02,0,0,2.68,29.45,1.34,2.68,0,4.02,1.34,2.68,0,4.02
3Month,0.32,0,1.6,0,0,0,0,0,4.8,0.32,0.32,1.28,0,0.64,0.32,0.32,0,0.32,0,0,0,0,5.12,0,0,0,1.92,0.32
22Month,0,0,0,0,0,0.55,0,0,0,0.55,0,1.09,0,0,0,0,0.55,0,0,0,0,0,0.55,0,0,0,0,0
