stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,4.09,4.09,8.17,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,8.17,12.26,0,0,0,0,0,0,0,0,0,0,0
72hpf,4.28,0,0,2.14,1.07,0,0,0,0,0,2.14,0,0,3.21,1.07,5.35,0,0,0,0,113.4,4.28,3.21,1.07,0,1.07,0,0,1.07,0,1.07,0,2.14
21Day,1.34,0,2.68,1.34,0,0,0,0,0,1.34,18.74,1.34,0,0,2.68,13.39,0,0,2.68,0,52.2,1.34,4.02,0,0,4.02,5.35,0,1.34,12.05,1.34,0,21.42
3Month,0.32,2.24,4.8,0,1.6,0.32,4.8,0,6.4,2.88,0.32,1.6,0,0.64,8,10.56,1.6,0,2.24,0.32,0,0.32,0.96,0,0,0,1.6,4.8,0,0,0,2.24,21.12
22Month,0,1.64,1.09,0,1.09,0,2.73,0.55,20.77,3.83,4.92,2.73,0.55,1.64,3.83,6.01,1.09,1.09,0.55,0,0.55,0.55,1.64,0,1.09,0,0.55,0,0.55,0,0,0,12.03
