stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,36.78,0,0,0,0,0,0,0,4.09,4.09,8.17,4.09,0,0,0,0,4.09,0,0,0,0,0,0,0
72hpf,0,1.07,0,7.49,0,0,0,0,0,0,0,0,12.84,2.14,5.35,0,1.07,0,2.14,4.28,1.07,0,0,0,0,0,0
21Day,1.34,0,0,17.4,0,0,0,0,0,2.68,0,0,9.37,0,6.69,0,0,1.34,1.34,0,1.34,0,0,0,1.34,0,0
3Month,0,1.28,0.32,14.08,0,3.2,0,2.88,5.12,0,0.32,0,5.44,3.52,5.12,0.32,0,0.32,0,0,0,0.32,0.64,0.32,0,2.88,0.32
22Month,0,1.09,0,4.92,0.55,7.65,3.83,7.65,1.09,0.55,1.09,0,2.19,6.01,5.47,0,0,1.09,0,0,0,0,0,0,0,0,0.55
