stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_progenitor_cell,Primordial_germ_cell,T_cell
24hpf,0,4.09,0,0,0,0,0,0,4.09,0,0,0,8.17,0,0
72hpf,2.14,0,0,0,0,0,0,0,6.42,0,0,0,1.07,0,0
21Day,0,1.34,0,13.39,0,0,2.68,0,8.03,0,0,0,1.34,0,0
3Month,0,0.64,0,9.92,0,0.64,0,1.28,1.92,0.32,1.6,0.32,0,1.28,0.64
22Month,0,1.09,0.55,0.55,0.55,15.85,0,0.55,0,0,0.55,0,0,24.6,0
