stage,Epithelial_cell,Granulosa_cell,Hepatocyte,Neural_cell,Neural_progenitor_cell,Osteoblast
72hpf,0,0,0,13.91,1.07,1.07
3Month,0.32,0,0.32,0,0,0
22Month,0,0.55,1.64,0,0,0
