stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,1.07,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,21.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0
3Month,0.96,0.32,7.36,0.32,2.88,10.88,28.16,753.48,6.08,0.64,1.28,4.16,4.16,0.32,0.32,0.64,0.96,0.64,0,0.32,1.28,4.8,5.12,4.16,2.56,2.56
22Month,0.55,0.55,2.73,0.55,0,3.28,51.93,185.86,1.09,0,0,2.19,1.09,0,1.09,0.55,0,0,0,0,0,0,0,0,0,0.55
