stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,0,0,0,0,4.09,24.52,0,0,0,0,0
72hpf,2.14,0,0,6.42,0,1.07,0,1.07,190.42,6.42,1.07,2.14,0,2.14,0
21Day,0,1.34,2.68,0,0,0,1.34,1.34,69.6,5.35,0,1.34,1.34,6.69,1.34
3Month,0,0,0,0,0.96,0,0,0,0,0,0,0,0,0,0
