stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Primordial_germ_cell,Radial_glia,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.43,0,0,0,0,0
72hpf,2.14,0,0,0,1.07,0,0,0,0,0,1.07,1.07,0,0,0,135.86,7.49,0,0,0,1.07,0
21Day,0,0,0,0,0,1.34,1.34,0,0,0,0,0,0,0,0,28.11,1.34,0,1.34,0,4.02,0
3Month,0,0,0.32,0.64,0,0,0,0,0.96,0,0,0,0,0.64,0.32,0,0,0.32,0,0.64,0,0.32
22Month,0,0.55,0,0.55,0,0,0,0.55,7.11,1.09,0,0,0.55,0.55,0,0.55,0,0,0,0,0,0
