stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,8.17,0,0,4.09,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,3.21,0,0,0,0,0,0,2.14,20.33,0,0,0,1.07,0,0,0,0,0,0
21Day,1.34,0,0,22.76,0,0,0,0,1.34,0,4.02,32.12,1.34,0,0,1.34,0,0,0,0,0,0
3Month,0.32,0.96,0.64,80.63,1.92,0,0,2.24,30.4,1.28,14.72,1.6,0.32,0,0.64,0.32,0.32,1.28,2.56,0.32,0.64,0.32
22Month,0.55,0.55,1.09,6.56,1.09,1.09,0,6.56,3.28,0,0.55,0,0,0.55,4.37,0,0.55,1.09,2.73,0,0,0
