stage,Epithelial_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Neurosecretory_cell,Primordial_germ_cell,Spermatocyte
24hpf,0,0,0,0,4.09,0,0,0
3Month,0.96,1.28,0.32,0.32,0,0.32,3.84,0.96
22Month,0,4.37,0,0,0,0,0.55,0
