stage,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Primordial_germ_cell,T_cell
24hpf,0,8.17,0,0,0,0,4.09,0,0,0,0,0,4.09,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0
72hpf,0,1.07,0,0,0,0,0,0,0,0,0,1.07,3.21,0,0,0,2.14,0,1.07,0,1.07,0,0,0,0,0,0
21Day,0,5.35,0,0,0,0,0,1.34,0,0,0,0,2.68,2.68,0,0,0,0,0,1.34,0,0,0,0,1.34,0,0
3Month,0,6.08,0,0,0,0,0,18.56,0.32,0,2.24,0.64,0,0.96,1.28,0.96,0.32,0,0,0,0,0,0,0,0.96,1.28,0.32
22Month,1.09,3.83,0.55,1.09,2.19,2.19,0,32.25,0.55,0.55,6.01,0,0,1.09,2.73,0,0.55,0.55,0,0,0,1.09,0.55,18.04,0,1.09,0.55
