stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,32.69,0,0,0,0,0,0,0,0,0,0
72hpf,3.21,2.14,0,1.07,2.14,1.07,0,0,0,0,0,0,2.14,49.21,0,5.35,0,0,0,5.35,8.56,0,0,0,2.14,0,0,1.07,0,0,0
21Day,1.34,0,0,13.39,0,1.34,0,0,0,0,0,0,2.68,5.35,1.34,9.37,1.34,0,0,5.35,1.34,0,2.68,0,2.68,0,2.68,1.34,0,0,1.34
3Month,0,0,0.32,7.36,0.32,0,0.32,0.64,2.56,0.32,0.32,0.64,2.24,1.6,1.28,0.96,0.96,0,0.32,1.28,0,0.32,0.32,0,0,0.32,11.84,0,0.64,64.63,0.32
22Month,0,0,0,0.55,0,0,0.55,0,3.28,0,0,1.09,0,0,0,3.28,0,0.55,0,0,0,0,0,0.55,0,0,2.73,0.55,0,0,0
