stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,73.56,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,224.66,0,1.07,1.07,24.61,0,0,0,0,1.07,0,1.07,0,2.14,3.21,0,4.28,0,12.84,24.61,0,0,0,1.07,0,0,2.14,0,0,0,0,0
21Day,179.36,0,5.35,0,157.95,0,8.03,0,0,0,0,1.34,2.68,1.34,1.34,4.02,2.68,0,5.35,4.02,0,1.34,0,1.34,1.34,2.68,0,2.68,1.34,0,0,2.68
3Month,11.52,1.28,2.56,0.32,0,21.12,0,1.28,1.28,2.56,0.64,0.64,0.64,0,0,0.32,2.56,0.96,0.64,0.32,0.32,0.32,0,4.16,0,28.16,0,0,0,4.8,4.8,0.96
22Month,1.64,0.55,0,0,0,8.75,0,0,0,15.31,1.09,0,1.09,0.55,0,1.64,1.09,0,0,0,0.55,0,1.09,0,0.55,1.64,0,0,0,0,0,0
