stage,Granulocyte,Immune_progenitor_cell,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell
24hpf,0,0,0,0,4.09
72hpf,0,0,1.07,5.35,0
21Day,0,1.34,0,2.68,0
3Month,0.32,0,0,0,0
