stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0
72hpf,0,1.07,3.21,0,0,0,0,0,0,1.07,0,1.07,0,0,0,0,0,0
21Day,0,0,8.03,2.68,0,0,0,0,1.34,1.34,1.34,2.68,0,0,1.34,8.03,0,0
3Month,0,0.64,0.64,0,0.32,1.6,0.32,0.64,0.32,0,0.64,0.64,0.32,2.88,0,0,0,0.64
22Month,1.09,1.64,0,0,1.09,7.65,0.55,1.64,0,0,1.64,0.55,0,0,0.55,0,0.55,0
