stage,Cardiomyocyte,Epithelial_cell,Erythroid_progenitor_cell,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell
24hpf,0,4.09,0,4.09,0,24.52
72hpf,1.07,0,0,0,2.14,2.14
21Day,0,0,1.34,0,0,0
