stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,8.17,0,20.43,0,0,4.09,0,0,0,0,0,0,8.17,4.09,4.09,20.43,0,0,8.17,93.99,0,4.09,0,0,0,0,0,0
72hpf,1.07,1.07,7.49,1.07,0,0,0,0,0,0,0,0,3.21,9.63,0,11.77,0,0,11.77,10.7,1.07,10.7,0,0,3.21,2.14,0,0
21Day,5.35,0,10.71,0,0,1.34,0,0,0,0,9.37,0,0,8.03,2.68,9.37,1.34,0,2.68,2.68,0,6.69,0,0,1.34,1.34,0,1.34
3Month,0,0.32,5.76,0,0,0,0.96,0,3.2,0.32,0,1.6,0.32,1.28,0.96,2.24,0,0.32,0.32,0,0,0.32,0.64,0,0,0,3.84,1.6
22Month,0,1.09,1.64,0,1.09,0.55,4.92,0.55,11.48,1.64,1.09,6.01,0.55,0,0,2.73,1.64,0,0.55,0,0,0,0,0.55,0.55,0,1.64,1.64
