stage,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Macrophage,Mesenchymal_cell,Spermatocyte,T_cell
3Month,0,0,0.32,0.32,0,0,0.32,0.32
22Month,0.55,0.55,0,1.09,0.55,0.55,0,2.19
