stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,8.17,20.43,0,0,0,4.09,0,0,0,4.09,8.17,12.26,8.17,0,0,0,0,755.98,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,1.07,1.07,2.14,44.93,0,0,0,1.07,0,9.63,12.84,0,2.14,1.07,0,1.07,35.3,86.65,0,1.07,0,1.07,1.07,0,11.77,0,0,1.07,0,0
21Day,0,0,30.79,0,0,0,0,0,2.68,5.35,0,4.02,2.68,5.35,0,1.34,0,4.02,14.72,1.34,0,0,0,0,1.34,5.35,0,1.34,0,0,2.68
3Month,0,0,1.28,0,0,0.64,0,5.44,0,0.32,0,0.32,1.28,0,0,0,0,0,0,0,0,0,0,0.32,35.51,0,0,0,0,5.44,0.32
22Month,0,0,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09,0,0,3.28,0,0.55,0,0,0,0.55
